,SOX2_like,PAX6_like,NEUROD1_like,RBFOX3_like,SLC17A7_like,GAD1_like,GFAP_like,OLIG2_like,AIF1_like,PDGFRA_like,MKI67_like,STRESS_like,CELL_CYCLE_like,MATURATION_like
cell_00685,3.039633,6.879862,2.8952956,4.7988825,0.017911257,0.017911257,0.015378,0.012080369,0.010210075,0.022190515,0.44618502,0.57808036,0.44618502,1.7974136
cell_00686,2.233075,3.673844,4.40623,6.9942923,0.051395968,0.34263977,0.045605183,0.03745932,0.03250037,0.060369473,1.601746,0.6914015,1.601746,3.4369318
cell_00687,0.2587403,1.6302432e-06,7.970293,9.9933195,0.1490831,0.1490831,0.9925451,0.14849474,0.14816572,0.14931947,0.0025709902,0.6408425,0.0025709902,15.7371235
cell_00688,0.59277177,0.0037743242,7.7699294,9.920259,0.14297186,0.14297186,0.9434232,0.13878123,0.13652945,0.14471775,0.115650065,0.7014449,0.115650065,14.125486
cell_00689,1.3791676,0.66112524,6.428318,9.0806875,0.697371,0.104605645,0.098349854,0.08817263,0.081011504,0.11302135,1.6710854,0.7279781,1.6710854,7.63452
cell_00690,3.844883,8.674619,1.9172118,3.1313367,0.005118577,0.005118577,0.0043163053,0.0033138345,0.0027652197,0.00654203,0.46214628,0.896374,0.46214628,1.0513055
cell_00691,0.33184725,2.2039409e-05,7.944836,9.985917,0.14829965,0.14829965,0.98619306,0.14721873,0.1466174,0.14873596,0.020319413,0.859958,0.020319413,15.517138
cell_00692,4.6857133,8.938518,1.289922,2.0119624,0.0014298081,0.0014298081,0.0011932136,0.0009043806,0.0007494167,0.0018620142,2.428533,0.7783466,2.428533,0.658073
cell_00693,3.265901,7.5535913,2.5725484,4.2656317,0.012699383,0.012699383,0.010835976,0.008444493,0.007104996,0.015900226,0.11578383,0.5614974,0.11578383,1.5303282
cell_00694,0.31620878,1.3549692e-05,7.951069,9.987813,0.14849128,0.14849128,0.14816178,0.98353314,0.1469945,0.14887886,0.0040747733,0.8676114,0.0040747733,15.570557
cell_00695,1.4430205,0.80684805,6.280506,8.96089,0.6705048,0.100575715,0.09409647,0.08369062,0.07646697,0.10939362,0.004228411,0.85703444,0.004228411,7.1845245
cell_00696,0.6160882,0.0050744056,7.7473693,9.9105625,0.14229141,0.14229141,0.14070205,0.1377328,0.13529384,0.96132123,0.25518453,0.8546814,0.25518453,13.959881
cell_00697,1.1296722,0.24999228,6.9658575,9.472969,0.11953527,0.11953527,0.7636553,0.10601209,0.09966744,0.1259545,0.8587635,0.69160676,0.8587635,9.607613
cell_00698,0.8791057,0.05922978,7.4121437,9.744509,0.88231933,0.1323479,0.12904401,0.12311232,0.11846081,0.13643713,0.016511148,0.56828266,0.016511148,11.804264
cell_00699,3.6232574,8.347447,2.141845,3.526524,0.0072563975,0.0072563975,0.0061431564,0.004739728,0.0039657885,0.009210244,0.02807646,0.80176127,0.02807646,1.2068316
cell_00700,4.5695667,8.979345,1.359264,2.1357064,0.0016937024,0.0016937024,0.0014150133,0.0010739496,0.00089058036,0.0022012098,0.019671591,0.655406,0.019671591,0.69882846
cell_00701,3.3033504,7.652473,2.5230558,4.182183,0.011983977,0.011983977,0.010216078,0.007951958,0.006686145,0.015028423,1.0043379,0.63782734,1.0043379,1.491332
cell_00702,6.4439416,6.829549,0.63809645,0.88289505,0.00014993257,0.00014993257,0.00012387593,9.2761664e-05,7.637463e-05,0.00019891204,0.22073655,0.6563128,0.22073655,0.30356762
cell_00703,0.36336377,5.366953e-05,7.930912,9.98152,0.14787202,0.14787202,0.14740992,0.9768409,0.14577954,0.14841667,0.009933345,0.7236282,0.009933345,15.398815
cell_00704,3.8648348,8.698134,1.898413,3.0980377,0.004960816,0.004960816,0.0041819164,0.0032093585,0.002677447,0.006344044,0.00074708735,0.63340753,0.00074708735,1.0386672
cell_00705,1.2699139,0.45050144,6.672718,9.267546,0.74223673,0.111335516,0.10556356,0.09596169,0.08904305,0.118949145,0.8455241,0.77596825,0.8455241,8.459071
cell_00706,0.50510395,0.0010398177,7.8443203,9.950514,0.96817565,0.14522634,0.14421469,0.14230147,0.14070687,0.14642881,0.11450259,0.7590895,0.11450259,14.693129
cell_00707,0.5218423,0.0013629694,7.831379,9.945457,0.14483295,0.14483295,0.14374192,0.9445466,0.13996851,0.14613138,0.035113152,0.70354503,0.035113152,14.59192
cell_00708,2.077908,3.009799,4.758435,7.428119,0.4023147,0.060347207,0.054020226,0.044928785,0.03928146,0.069935955,0.14208342,0.5215893,0.14208342,3.9476552
cell_00709,1.7858195,1.8537548,5.455297,8.19814,0.5233744,0.07850616,0.07161332,0.061236322,0.054491296,0.088475026,2.2468212,0.8746171,2.2468212,5.177073
cell_00710,0.22449534,3.3155786e-07,7.9791455,9.995636,0.14935602,0.14935602,0.14921428,0.99294305,0.1487092,0.1495223,0.0031181106,0.6646785,0.0031181106,15.8147545
cell_00711,0.80776566,0.034490682,7.517485,9.800655,0.90293425,0.13544014,0.13263002,0.12752338,0.123462625,0.1388849,0.51512295,0.67978126,0.51512295,12.425636
cell_00712,0.4613275,0.00047948735,7.875399,9.962254,0.14617322,0.14617322,0.14535509,0.14380166,0.9500048,0.14714274,0.068188645,0.682413,0.068188645,14.940605
cell_00713,0.3245521,1.7635895e-05,7.9477987,9.986824,0.14839071,0.14839071,0.1480396,0.14736657,0.9786432,0.14880387,0.014139325,0.6460112,0.014139325,15.542493
cell_00714,0.51404077,0.0012033861,7.8374844,9.947855,0.96678984,0.14501847,0.1439648,0.14197385,0.14031622,0.1462717,0.045801707,0.7698352,0.045801707,14.639534
cell_00715,5.721261,7.9053674,0.83599144,1.2154845,0.0003539085,0.0003539085,0.00029326967,0.00022038823,0.00018179507,0.0004669285,0.2677616,0.5055671,0.2677616,0.40603235
cell_00716,1.2664576,0.4446317,6.6802435,9.273076,0.111544184,0.111544184,0.7052634,0.09620959,0.08930153,0.11913036,0.0003622208,0.8494033,0.0003622208,8.486229
cell_00717,7.9831257,4.573176,0.3863117,0.48463362,3.1122494e-05,3.1122494e-05,2.5619594e-05,1.9101135e-05,1.5690805e-05,4.1576684e-05,0.20476356,0.54097563,0.20476356,0.17911495
cell_00718,0.88092583,0.059996933,7.409321,9.742959,0.88176954,0.13226543,0.12894885,0.122996286,0.118330106,0.13637142,0.0011257982,0.8998855,0.0011257982,11.788239
cell_00719,0.2627661,1.9294732e-06,7.9691286,9.993003,0.14904721,0.14904721,0.14883807,0.9895739,0.14809442,0.14929278,0.008057651,0.75123304,0.008057651,15.726954
cell_00720,1.5433855,1.0690031,6.0427527,8.7575,0.6276575,0.09414862,0.08741144,0.07680386,0.06958992,0.10348571,0.61580306,0.5264986,0.61580306,6.5263
cell_00721,2.123396,3.2024758,4.6535397,7.302064,0.057660524,0.057660524,0.05147785,0.042651173,0.037202097,0.4472915,2.0303833,0.7249748,2.0303833,3.7888842
cell_00722,10.397191,2.1851616,0.20433296,0.22535129,4.3755604e-06,4.3755604e-06,3.5925968e-06,2.670354e-06,2.1900923e-06,5.874227e-06,0.19397582,0.6325231,0.19397582,0.09303168
cell_00723,0.25815594,1.5903811e-06,7.97046,9.993365,0.9939216,0.14908823,0.14888804,0.14850314,0.14817593,0.14932328,0.00052103255,0.8812173,0.00052103255,15.738581
cell_00724,7.947806,4.619583,0.39040774,0.4908049,3.2159183e-05,3.2159183e-05,2.6474541e-05,1.9739931e-05,1.6216141e-05,4.2956806e-05,0.188002,0.8021884,0.188002,0.18108894
cell_00725,10.181683,2.3398008,0.21502239,0.23961565,5.114492e-06,5.114492e-06,4.199936e-06,3.1223383e-06,2.561024e-06,6.8642735e-06,0.039696828,0.7028059,0.039696828,0.0980023
cell_00726,4.484559,8.995704,1.4130571,2.2318509,0.0019202299,0.0019202299,0.0016056619,0.0012199441,0.001012227,0.0024916725,1.26882,0.67191094,1.26882,0.7308832
cell_00727,9.233008,3.148563,0.27255434,0.31872052,1.0588414e-05,1.0588414e-05,8.702099e-06,6.4755636e-06,5.314082e-06,1.4188891e-05,0.4738249,0.89834756,0.4738249,0.12493694
cell_00728,1.9433928,2.4563217,5.0752716,7.7926946,0.06854478,0.06854478,0.061870825,0.34722155,0.045882847,0.07845125,2.2713025,0.76695365,2.2713025,4.46595
cell_00729,1.5228071,1.0120273,6.0919375,8.800658,0.6364871,0.09547307,0.088779375,0.07819784,0.07097179,0.10471551,0.9527732,0.7055719,0.9527732,6.6563644
cell_00730,3.4370956,7.975635,2.354882,3.8956037,0.009726556,0.009726556,0.00826599,0.006408631,0.0053766104,0.012263141,2.5112274,0.65917766,2.5112274,1.3624563
cell_00731,9.787095,2.6498048,0.23669405,0.26897025,6.8644636e-06,6.8644636e-06,5.6387057e-06,4.1934663e-06,3.4402367e-06,9.207568e-06,0.5005649,0.62983316,0.5005649,0.10811213
cell_00732,7.6791215,4.9830275,0.423603,0.5412595,4.1454263e-05,4.1454263e-05,3.414288e-05,2.5472013e-05,2.0931187e-05,5.532257e-05,0.23930259,0.7821678,0.23930259,0.19714697
cell_00733,2.5776784,5.14923,3.6907063,6.020592,0.22768313,0.03415247,0.029808974,0.02393405,0.020485204,0.041176047,2.476502,0.7351542,2.476502,2.5670435
cell_00734,9.419602,2.971944,0.25968823,0.3007109,9.12524e-06,9.12524e-06,7.4982213e-06,5.5785126e-06,4.577416e-06,1.2232435e-05,0.0026280119,0.8392739,0.0026280119,0.11888663
cell_00735,0.7350239,0.01826824,7.6139965,9.849064,0.13829869,0.13829869,0.9065095,0.13170797,0.12826838,0.14112003,0.021906419,0.7214243,0.021906419,13.037744
cell_00736,5.242636,8.501233,1.0141865,1.5241895,0.00065780204,0.00065780204,0.000546581,0.00041209956,0.00034052818,0.00086349127,0.7126721,0.73293257,0.7126721,0.5020348
cell_00737,3.5845048,8.277474,2.1842706,3.6005137,0.0077135903,0.0077135903,0.0065351427,0.0050469707,0.004225084,0.009777583,0.86594796,0.6909426,0.86594796,1.237172
cell_00738,2.4803596,4.740327,3.8825493,6.2936864,0.03860381,0.03860381,0.22558548,0.027326426,0.02346864,0.046225544,0.6158355,0.8050484,0.6158355,2.7812352
cell_00739,2.2670243,3.8208482,4.331431,6.8982806,0.049524304,0.049524304,0.043865114,0.03593885,0.031133208,0.38889602,0.04772726,0.66599685,0.04772726,3.3362303
cell_00740,11.92055,1.3414556,0.14625517,0.15066929,1.57781e-06,1.57781e-06,1.2944223e-06,9.612144e-07,7.879476e-07,2.121531e-06,0.42696407,0.84077585,0.42696407,0.06620821
cell_00741,7.6646986,5.0030417,0.4254925,0.5441543,4.2033073e-05,4.2033073e-05,3.4620545e-05,2.5829206e-05,2.1225065e-05,5.6092114e-05,1.2119184,0.6308179,1.2119184,0.19806424
cell_00742,0.38054472,8.341545e-05,7.9225354,9.978778,0.98410034,0.14761506,0.14709836,0.14611128,0.14527851,0.14822455,0.041409336,0.77705,0.041409336,15.3283
cell_00743,11.940959,1.3326828,0.14564241,0.14990963,1.5577838e-06,1.5577838e-06,1.2779819e-06,9.489965e-07,7.7792805e-07,2.094638e-06,0.13047332,0.85718834,0.13047332,0.06592684
cell_00744,1.5718248,1.1504049,5.9744844,8.696659,0.6154296,0.09231444,0.085525155,0.074894235,0.06770509,0.10177201,1.8353873,0.8076295,1.8353873,6.3506765
cell_00745,1.6936715,1.532372,5.6794004,8.421116,0.08443754,0.56291693,0.07752846,0.0669546,0.059967928,0.09427232,1.7229743,0.63704324,1.7229743,5.6512833
cell_00746,3.1661932,7.272633,2.7096617,4.4945574,0.014799867,0.014799867,0.012661096,0.009899855,0.008345157,0.01844793,0.0065026814,0.7825356,0.0065026814,1.6410187
cell_00747,2.137418,3.2622774,4.621466,7.2629876,0.056842238,0.37894824,0.0507064,0.041963715,0.036576513,0.06622307,0.37933815,0.58279395,0.37933815,3.7415092
cell_00748,0.5286557,0.0015161949,7.825942,9.943305,0.14466782,0.14466782,0.14354365,0.14142263,0.13965978,0.9733759,0.14053452,0.523266,0.14053452,14.549715
cell_00749,0.414821,0.00018586573,7.9041195,9.972528,0.1470509,0.1470509,0.1464153,0.14520393,0.1441849,0.9853468,0.053527154,0.8165527,0.053527154,15.175013
cell_00750,4.235547,8.970302,1.5869583,2.5429833,0.0027934609,0.0027934609,0.0023425072,0.0017860307,0.0014847347,0.00360613,0.7276595,0.8232036,0.7276595,0.83721805
cell_00751,3.3033757,7.6525383,2.523023,4.182127,0.011983509,0.011983509,0.010215672,0.007951636,0.006685871,0.015027852,2.5732076,0.5091724,2.5732076,1.4913063
cell_00752,4.5493083,8.984317,1.3718432,2.1581798,0.0017449287,0.0017449287,0.0014581062,0.0011069304,0.0009180524,0.0022669488,0.7414956,0.879118,0.7414956,0.70628965
cell_00753,1.7602451,1.7619962,5.5174575,8.26118,0.08014718,0.08014718,0.073241025,0.06279725,0.05597853,0.6006121,1.9166819,0.6783599,1.9166819,5.304151
cell_00754,0.78026104,0.0274228,7.555291,9.819979,0.9103796,0.13655694,0.1339338,0.12914579,0.12531877,0.13976128,0.038105756,0.8621089,0.038105756,12.660283
cell_00755,4.8157663,8.869582,1.2175773,1.883197,0.0011863619,0.0011863619,0.0009889129,0.00074848306,0.00061976584,0.0015482338,0.8721536,0.8152698,0.8721536,0.61621624
cell_00756,3.1962035,7.3598804,2.667564,4.424632,0.01413665,0.01413665,0.012084019,0.009438857,0.007951925,0.017645396,1.4079939,0.86026144,1.4079939,1.6066102
cell_00757,0.29036057,5.6124154e-06,7.9604173,9.9905615,0.14877893,0.9918595,0.14851156,0.14799823,0.14756252,0.14909314,0.00085759297,0.83335024,0.00085759297,15.651215
cell_00758,9.881156,2.5726345,0.23126304,0.261561,6.3927782e-06,6.3927782e-06,5.250845e-06,3.9046636e-06,3.203158e-06,8.576135e-06,0.19754621,0.88959813,0.19754621,0.105574474
cell_00759,1.8999512,2.2844353,5.1793203,7.907141,0.07125953,0.07125953,0.06450308,0.36350095,0.04816107,0.08121849,2.4190993,0.7516404,2.4190993,4.6501536
cell_00760,0.69675213,0.012550997,7.660247,9.871146,0.13967755,0.9311837,0.13760157,0.13376445,0.13065216,0.14218879,0.29058495,0.5909035,0.29058495,13.346955
cell_00761,6.5737906,6.6285014,0.6094166,0.8358909,0.00012965717,0.00012965717,0.00010707884,8.014305e-05,6.596764e-05,0.00017215012,0.5550116,0.65582526,0.5550116,0.2890652
cell_00762,9.928512,2.534571,0.2285938,0.25793225,6.1692567e-06,6.1692567e-06,5.0670596e-06,3.7678294e-06,3.0908357e-06,8.276868e-06,0.5451917,0.8007517,0.5451917,0.10432827
cell_00763,6.903891,6.1195135,0.5439386,0.72997195,9.063963e-05,9.063963e-05,7.4783864e-05,5.5907836e-05,4.5991357e-05,0.000120563396,0.28285536,0.5627877,0.28285536,0.25627494
cell_00764,0.30410382,9.083182e-06,7.955593,9.989159,0.14863044,0.14863044,0.14833097,0.9850424,0.14726903,0.14898255,0.012612926,0.8719369,0.012612926,15.609509
cell_00765,11.563662,1.5045047,0.15757495,0.16481748,1.979757e-06,1.979757e-06,1.6244333e-06,1.206499e-06,9.891133e-07,2.6611826e-06,0.37895405,0.58211154,0.37895405,0.07141219
cell_00766,5.649792,8.002961,0.85981226,1.2563288,0.00038718258,0.00038718258,0.00032095838,0.00024130062,0.00019909116,0.0005104853,1.4791343,0.8503899,1.4791343,0.4186559
cell_00767,10.588543,2.05603,0.1954486,0.21360962,3.8194926e-06,3.8194926e-06,3.1356403e-06,2.3303583e-06,1.9110985e-06,5.1289276e-06,0.0932114,0.69348955,0.0932114,0.08890842
cell_00768,7.7090025,4.9417224,0.41972488,0.53532565,4.0283532e-05,4.0283532e-05,3.3176777e-05,2.474962e-05,2.0336867e-05,5.3765878e-05,0.2786433,0.83624804,0.2786433,0.19526537
cell_00769,1.0043188,0.1311394,7.203068,9.623771,0.84193826,0.12629074,0.122119635,0.11480157,0.10921101,0.13155067,0.7223036,0.8833183,0.7223036,10.696299
cell_00770,4.564692,8.980602,1.3622776,2.1410897,0.0017058786,0.0017058786,0.0014252552,0.0010817872,0.0008971083,0.0022168385,1.1553617,0.668859,1.1553617,0.700614
cell_00771,1.2312851,0.38762227,6.7560225,9.328017,0.11365052,0.75767016,0.108077995,0.09873432,0.09194411,0.12095091,0.87756056,0.7786418,0.87756056,8.766127
cell_00772,1.1321576,0.25289562,6.9609,9.469667,0.1193953,0.1193953,0.11439307,0.10583503,0.6631843,0.1258369,0.92566293,0.59068704,0.92566293,9.586512
cell_00773,0.4013848,0.00013734936,7.911612,9.975106,0.1472803,0.9818687,0.1466929,0.14557232,0.14462855,0.14797395,0.05529132,0.8203143,0.05529132,15.237094
cell_00774,11.774558,1.4059145,0.15074472,0.15625484,1.7298751e-06,1.7298751e-06,1.4192642e-06,1.0539974e-06,8.640389e-07,2.3257182e-06,0.06567911,0.82797027,0.06567911,0.06827078
cell_00775,0.39511785,0.0001186857,7.9149857,9.976252,0.14738365,0.14738365,0.14681803,0.14573853,0.14482887,0.987009,0.040914666,0.61809826,0.040914666,15.265173
cell_00776,1.0084659,0.13425848,7.1956453,9.619268,0.12607755,0.840517,0.12187828,0.11451668,0.10889787,0.13137645,0.65959954,0.5096563,0.65959954,10.659709
cell_00777,6.258451,7.115204,0.68231046,0.956018,0.00018536468,0.00018536468,0.00015325072,0.00011484819,9.4598436e-05,0.00024561657,1.4338611,0.6724821,1.4338611,0.32609457
cell_00778,0.545069,0.0019440006,7.81244,9.937893,0.9617209,0.14425814,0.14305222,0.14078082,0.13889688,0.14569592,0.0145211695,0.5680002,0.0145211695,14.4457035
cell_00779,0.39177817,0.000109651024,7.9167523,9.976847,0.14743778,0.9829185,0.14688358,0.14582565,0.14493392,0.14809188,0.0007574359,0.8274204,0.0007574359,15.279908
cell_00780,4.339906,8.994952,1.5109652,2.4070137,0.0023844074,0.0023844074,0.0019969852,0.001520241,0.0012627282,0.0030850437,0.9718487,0.6044389,0.9718487,0.7902331
cell_00781,0.30413973,9.094255e-06,7.9555798,9.989155,0.99086696,0.14863004,0.14833048,0.14775571,0.14726824,0.14898226,6.9556454e-06,0.8774771,6.9556454e-06,15.609397
cell_00782,1.9485333,2.476914,5.063007,7.7790327,0.06822546,0.06822546,0.4104153,0.05179847,0.04561802,0.07812402,0.36458638,0.8887236,0.36458638,4.44472
cell_00783,1.0738055,0.19052218,7.074767,9.543964,0.81748295,0.122622445,0.11798891,0.10996878,0.103933804,0.12853128,0.069617994,0.8635344,0.069617994,10.087561
cell_00784,0.23370597,5.2467357e-07,7.9769464,9.995076,0.1492882,0.1492882,0.14913163,0.99220234,0.14857395,0.14947192,0.002357066,0.7398458,0.002357066,15.795416
cell_00785,2.8257174,6.1304293,3.2400677,5.3455305,0.024433427,0.024433427,0.0211233,0.01674493,0.09484014,0.029922549,2.9402544,0.6069712,2.9402544,2.1097107
cell_00786,0.46406496,0.00050482043,7.873572,9.96158,0.14611746,0.97411644,0.14528784,0.14371297,0.14239444,0.14710078,0.0967256,0.8229034,0.0967256,14.925879
cell_00787,3.3578813,7.789902,2.4528923,4.0631733,0.011009382,0.011009382,0.009373038,0.0072836126,0.006118495,0.0138373,1.812917,0.78063816,1.812917,1.4368923
cell_00788,0.49068767,0.00081484485,7.854995,9.954613,0.9703415,0.14555123,0.14460558,0.14281473,0.14131969,0.14667408,0.11535597,0.89086735,0.11535597,14.777418
cell_00789,1.0854243,0.20199497,7.052524,9.529704,0.121989995,0.81326663,0.117281415,0.109150134,0.103047125,0.12800607,0.37922156,0.6509008,0.37922156,9.98692
cell_00790,5.0504827,8.691002,1.0997801,1.6746072,0.0008540668,0.0008540668,0.00071060535,0.0005366302,0.00044381147,0.001118379,0.029207386,0.5235072,0.029207386,0.5494707
cell_00791,2.2905736,3.9229226,4.2800627,6.8315587,0.04824617,0.04824617,0.042680576,0.03490833,0.2013936,0.056937862,0.08249366,0.8993545,0.08249366,3.2685235
cell_00792,3.3681517,7.8149133,2.4399261,4.041092,0.010834399,0.010834399,0.009221855,0.0071639405,0.006016941,0.013623007,0.19530292,0.83530545,0.19530292,1.4269383
cell_00793,8.779971,3.6157115,0.3076804,0.36873227,1.5384065e-05,1.5384065e-05,1.2649719e-05,9.418685e-06,7.731691e-06,2.0595648e-05,0.33752826,0.58859587,0.33752826,0.14153439
cell_00794,10.650082,2.0160754,0.19270518,0.21000543,3.6580093e-06,3.6580093e-06,3.002954e-06,2.2316465e-06,1.8301029e-06,4.912446e-06,0.18676795,0.79025114,0.18676795,0.08763666
cell_00795,3.0011394,6.7526608,2.9544141,4.8943753,0.018963741,0.018963741,0.016300574,0.012824535,0.010848364,0.02344841,0.42917523,0.5002761,0.42917523,1.8488804
cell_00796,11.1202755,1.734583,0.17340405,0.18494935,2.6504592e-06,2.6504592e-06,2.175241e-06,1.6160161e-06,1.325024e-06,3.5612247e-06,0.4948031,0.7231236,0.4948031,0.07870873
cell_00797,6.190127,7.2194777,0.699634,0.98487264,0.00020071048,0.00020071048,0.00016598064,0.00012442651,0.00010250459,0.00026582193,0.048862286,0.6451353,0.048862286,0.33497745
cell_00798,0.6597946,0.0084644,7.7019114,9.890369,0.14092486,0.14092486,0.92718565,0.13564654,0.1328467,0.14315036,0.048728056,0.65253323,0.048728056,13.634942
cell_00799,0.70648146,0.013848857,7.648788,9.8657465,0.9289025,0.13933538,0.13719761,0.13325176,0.1300565,0.14192413,0.34904373,0.59780794,0.34904373,13.269339
cell_00800,0.62536806,0.005682338,7.7380633,9.906498,0.14201117,0.14201117,0.9357893,0.13730288,0.13478829,0.14398378,0.25740924,0.6099381,0.25740924,13.892422
cell_00801,3.3746579,7.8306146,2.4317522,4.027158,0.010724914,0.010724914,0.00912729,0.0070891147,0.005953457,0.01348886,2.328852,0.6818675,2.328852,1.4206802
cell_00802,0.34123933,2.907827e-05,7.940879,9.984689,0.14817806,0.14817806,0.9852087,0.14702152,0.14637865,0.14864524,2.5310953e-06,0.599258,2.5310953e-06,15.48337
cell_00803,1.1158143,0.23421313,6.993327,9.491153,0.12031171,0.802078,0.11541059,0.10699796,0.10072596,0.12660566,0.07155997,0.68657595,0.07155997,9.725683
cell_00804,7.248549,5.6005135,0.4853513,0.63704026,6.340095e-05,6.340095e-05,5.226546e-05,3.90336e-05,3.2093023e-05,8.44683e-05,1.1496799,0.7309391,1.1496799,0.2273064
cell_00805,6.753305,6.350866,0.572563,0.7760254,0.000106509084,0.000106509084,8.791409e-05,6.575672e-05,5.4107524e-05,0.00014156003,0.6006765,0.7844446,0.6006765,0.27055526
cell_00806,0.75015527,0.02101638,7.594845,9.839702,0.9181962,0.13772944,0.1353076,0.13086624,0.1272969,0.14067702,0.06696634,0.7708583,0.06696634,12.912799
cell_00807,6.008234,7.492962,0.7487251,1.0672178,0.0002489858,0.0002489858,0.00020605365,0.00015460268,0.00012742323,0.00032930562,1.5482179,0.59679574,1.5482179,0.3603247
cell_00808,1.5773336,1.1665248,5.961225,8.684716,0.09195875,0.09195875,0.08516044,0.07452666,0.06734337,0.67625505,1.157979,0.51567584,1.157979,6.317208
cell_00809,0.22713943,3.7921464e-07,7.9785275,9.99548,0.9955798,0.14933696,0.14919105,0.14891022,0.14867118,0.14950815,0.00014953062,0.8330727,0.00014953062,15.809318
cell_00810,11.809169,1.3903594,0.14966325,0.1549062,1.6923775e-06,1.6923775e-06,1.3884785e-06,1.0311165e-06,8.45274e-07,2.275371e-06,0.37843153,0.8489251,0.37843153,0.06777377
cell_00811,11.229985,1.6746248,0.16928889,0.17967808,2.4632654e-06,2.4632654e-06,2.0214939e-06,1.5016934e-06,1.2312436e-06,3.3100723e-06,0.12991662,0.8915558,0.12991662,0.076809615
cell_00812,0.22595222,3.571163e-07,7.9788065,9.99555,0.9956371,0.14934556,0.14920153,0.14892432,0.14868833,0.14951454,0.00017943345,0.8838846,0.00017943345,15.81177
cell_00813,1.1576028,0.2839249,6.90962,9.435165,0.78633475,0.117950216,0.11279426,0.10401841,0.09753587,0.124618694,1.2146207,0.7535256,1.2146207,9.371863
cell_00814,7.222974,5.6383777,0.48939553,0.6433942,6.506934e-05,6.506934e-05,5.364397e-05,4.0065912e-05,3.294299e-05,8.668144e-05,0.02982884,0.8577087,0.02982884,0.22929494
cell_00815,0.3314421,2.177216e-05,7.945003,9.985969,0.14830479,0.14830479,0.98623466,0.14722706,0.14662749,0.14873978,0.014090861,0.6792034,0.014090861,15.518565
cell_00816,0.3546533,4.2433632e-05,7.934945,9.982815,0.14799583,0.14799583,0.9837341,0.14672637,0.14602159,0.14850917,0.0031495707,0.81493425,0.0031495707,15.432944
cell_00817,1.4050951,0.7182894,6.368682,9.0329685,0.10297634,0.6865089,0.096624345,0.08634472,0.07915142,0.11156174,1.4831572,0.88213384,1.4831572,7.4488907
cell_00818,0.9977411,0.12629785,7.214778,9.630843,0.12662733,0.8441822,0.122501,0.11525238,0.10970704,0.13182543,0.91067195,0.8185114,0.91067195,10.754382
cell_00819,4.023523,8.851886,1.7566229,2.846007,0.0038720868,0.0038720868,0.0032562413,0.002491444,0.0020751038,0.0049731364,2.2288103,0.66630614,2.2288103,0.94513553
cell_00820,9.804367,2.6354773,0.2356837,0.26758927,6.7749793e-06,6.7749793e-06,5.565121e-06,4.138672e-06,3.395255e-06,9.087787e-06,1.9767414e-05,0.6511037,1.9767414e-05,0.10763983
cell_00821,1.1125295,0.23057388,6.999795,9.495407,0.120494746,0.120494746,0.11561416,0.71487516,0.10097691,0.12675887,0.29518145,0.6166171,0.29518145,9.753771
cell_00822,3.6909573,8.460453,2.0700424,3.4008002,0.006521654,0.006521654,0.0055141314,0.0042476156,0.0035509064,0.008296153,2.7853754,0.64682543,2.7853754,1.1561952
cell_00823,0.8440213,0.04581721,7.4652476,9.773227,0.1339032,0.89268804,0.1308433,0.12531625,0.12095176,0.1376722,0.5546843,0.8282307,0.5546843,12.111732
cell_00824,0.42313075,0.00022256575,7.899307,9.970849,0.14690365,0.14690365,0.1462372,0.14496787,0.14390089,0.9846105,0.028961044,0.78060013,0.028961044,15.135341
cell_00825,11.159203,1.7130722,0.1719282,0.18305592,2.5822553e-06,2.5822553e-06,2.119222e-06,1.5743606e-06,1.2908529e-06,3.469722e-06,0.30449897,0.5999517,0.30449897,0.07802746
cell_00826,1.1074406,0.22501166,7.009783,9.501956,0.12077755,0.80518365,0.11592891,0.10759242,0.10136567,0.12699534,0.9066047,0.784614,0.9066047,9.797359
cell_00827,4.757796,8.903186,1.2491611,1.9393622,0.0012887748,0.0012887748,0.0010748192,0.0008140001,0.0006742363,0.0016803428,0.8133879,0.6517582,0.8133879,0.63440746
cell_00828,0.36398327,5.455732e-05,7.9306197,9.981425,0.98575366,0.14786305,0.14739904,0.14651164,0.14576201,0.14840996,0.021987263,0.723109,0.021987263,15.396346
cell_00829,4.3503165,8.99627,1.5036379,2.3939013,0.0023472665,0.0023472665,0.0019656427,0.0014961598,0.0012426268,0.0030376492,1.5459701,0.6481477,1.5459701,0.7857456
cell_00830,1.0427132,0.1620407,7.133196,9.58083,0.12428863,0.12428863,0.11985937,0.11214584,0.10630198,0.8660561,0.44978213,0.7086517,0.44978213,10.358661
cell_00831,1.3109385,0.5238702,6.58237,9.200106,0.10883732,0.10883732,0.10286929,0.09302423,0.5732924,0.116767615,0.46187398,0.79192156,0.46187398,8.141619
cell_00832,2.460195,4.6544414,3.9233394,6.3506265,0.039569482,0.26379654,0.034716185,0.02807105,0.024126131,0.047312327,0.12124979,0.7924523,0.12124979,2.8284392
cell_00833,0.79805607,0.03185415,7.531012,9.807621,0.1358393,0.1358393,0.13309549,0.12810144,0.8274862,0.1391986,0.37723467,0.80127305,0.37723467,12.508857
cell_00834,0.6582491,0.008319986,7.7035894,9.8911295,0.1409752,0.1409752,0.9275837,0.13572294,0.13293605,0.14318906,0.0044452734,0.6564155,0.0044452734,13.646734
