,Spatial_X,Spatial_Y
cell_00779,0.19355299,1.1199297
cell_00780,0.14934552,0.28642458
cell_00781,0.86713094,1.2516198
cell_00782,0.122012965,0.7846266
cell_00783,0.70563513,0.6830329
cell_00784,0.41700026,1.5193516
cell_00785,0.57907975,0.8386097
cell_00786,0.023355415,1.087652
cell_00787,1.9239516e-05,0.47463328
cell_00788,0.8172485,0.9758582
cell_00789,0.47544116,0.88605076
cell_00790,0.07130694,0.21412966
cell_00791,0.3434561,0.9666642
cell_00792,0.50635445,0.3913579
cell_00793,0.13549347,0.05746473
cell_00794,0.54633796,0.055802062
cell_00795,0.5287507,0.4465458
cell_00796,0.6028352,0.04998338
cell_00797,0.8102618,0.19103114
cell_00798,0.41277882,1.1647656
cell_00799,0.88856006,0.8368286
cell_00800,0.47467375,1.1088554
cell_00801,0.45714897,0.45266077
cell_00802,0.6556857,1.252675
cell_00803,0.6175212,0.7474482
cell_00804,0.011434939,0.10784079
cell_00805,0.9824306,0.1918245
cell_00806,0.9426936,0.89589405
cell_00807,0.28128594,0.1745068
cell_00808,0.5585833,1.2994931
cell_00809,0.77048516,1.1914892
cell_00810,0.92046785,-0.00096735166
cell_00811,0.5859066,-0.022601144
cell_00812,0.018940132,1.2892692
cell_00813,0.68067795,0.69405216
cell_00814,0.09307807,0.08569257
cell_00815,0.67117774,1.4396461
cell_00816,0.5874276,1.3161398
cell_00817,0.64066964,0.80338204
cell_00818,0.1892577,0.95022845
cell_00819,0.49360988,0.35854775
cell_00820,0.6179568,0.1093681
cell_00821,0.3002929,1.0761974
cell_00822,0.18162327,0.39039284
cell_00823,0.22268073,0.9146374
cell_00824,0.85801667,1.6024837
cell_00825,0.46454352,0.027778491
cell_00826,0.6610734,0.8150158
cell_00827,0.5148889,0.30275553
cell_00828,0.83412725,1.0737585
cell_00829,0.50849485,0.34534323
cell_00830,0.09332531,1.3649045
cell_00831,0.1979847,1.2442511
cell_00832,0.013265415,0.6480313
cell_00833,0.8315243,1.2827823
cell_00834,0.66327286,1.1335771
cell_00835,0.75920194,0.87096024
cell_00836,0.71502024,1.342608
cell_00837,0.8244797,1.6408126
cell_00838,0.98696953,0.5843949
cell_00839,0.65347135,1.0225134
cell_00840,0.2522656,0.015293876
cell_00841,0.10139004,1.0726876
cell_00842,0.5897479,0.55913043
cell_00843,0.7707571,1.1349287
cell_00844,0.5615717,0.04846845
cell_00845,0.30355477,1.2354492
cell_00846,0.71973485,0.7719938
cell_00847,0.4479725,1.1485782
cell_00848,0.28658912,0.1458867
cell_00849,0.8410845,1.444015
cell_00850,0.5765188,0.25395644
cell_00851,0.283448,0.23487446
cell_00852,0.32860434,1.2175703
cell_00853,0.5716651,1.6869181
cell_00854,0.4229236,0.2804536
cell_00855,0.16051912,0.8610726
cell_00856,0.61046994,1.1796424
cell_00857,0.68911004,1.3524911
cell_00858,0.00010879628,0.6024235
cell_00859,0.5368693,0.61330056
cell_00860,0.5771615,1.105452
cell_00861,0.33206406,0.97222894
cell_00862,0.33873126,1.3215106
cell_00863,0.31765887,1.0911379
cell_00864,0.44532806,0.11995817
cell_00865,0.8119399,1.1631389
cell_00866,0.46902606,1.1631627
cell_00867,0.9936487,1.270902
cell_00868,0.37615868,0.060023677
cell_00869,0.69926226,0.13214618
cell_00870,0.5489657,0.9006833
cell_00871,0.76228863,-0.08717004
cell_00872,0.88836455,1.7590575
cell_00873,0.5116833,0.6072935
cell_00874,0.4944792,0.82707024
cell_00875,0.94271904,1.0108439
cell_00876,0.93365955,1.0701635
cell_00877,0.9969967,0.3415287
cell_00878,0.15647592,0.85977226
cell_00879,0.0035687236,1.0055457
cell_00880,0.4373103,0.48574328
cell_00881,0.73334014,0.70480865
cell_00882,0.07285601,1.6018815
cell_00883,0.37360165,0.64292586
cell_00884,0.58145946,0.24608116
cell_00885,0.21254742,0.4778694
cell_00886,0.731142,0.6816887
cell_00887,0.22953765,0.16849326
cell_00888,0.840672,0.18170562
cell_00889,0.34827334,1.3029573
cell_00890,0.5986484,0.4398206
cell_00891,0.544154,1.2408664
cell_00892,0.2964467,0.27241382
cell_00893,0.43907163,0.09438867
cell_00894,0.8459731,0.8789195
cell_00895,0.5483443,1.665905
cell_00896,0.05558696,0.31553695
cell_00897,0.7130323,0.31740355
cell_00898,0.1824525,0.3568775
cell_00899,0.48606277,0.95801765
cell_00900,0.46853888,1.0568001
cell_00901,0.48648694,0.36322817
cell_00902,0.031014007,0.040920287
cell_00903,0.27238852,0.88807005
cell_00904,0.050735474,1.5981075
cell_00905,0.4149567,0.9373309
cell_00906,0.6213367,0.73054236
cell_00907,0.65407413,0.20535661
cell_00908,0.064548,0.3414352
cell_00909,0.11888911,0.35133198
cell_00910,0.6615068,1.2289327
cell_00911,0.53118765,1.3873863
cell_00912,0.833412,1.7422113
cell_00913,0.20514217,1.4555867
cell_00914,0.120342284,1.2895067
cell_00915,0.36202416,1.4719272
cell_00916,0.63706714,0.0783255
cell_00917,0.48596725,0.21472815
cell_00918,0.098593265,0.3763618
cell_00919,0.07129209,1.1201255
cell_00920,0.6776936,0.15402573
cell_00921,0.29696822,1.1372644
cell_00922,0.66948247,1.2111673
cell_00923,0.29491487,0.89006865
cell_00924,0.3147942,0.16210373
cell_00925,0.20981473,0.23557141
cell_00926,0.98371696,0.2078112
cell_00927,0.01607029,0.99564385
cell_00928,0.12725243,0.9142647
cell_00929,0.8362902,1.2377133
cell_00930,0.13816173,0.3578506
cell_00931,0.2806969,1.045872
cell_00932,0.26278496,0.69274074
cell_00933,0.6969856,1.1851369
cell_00934,0.41120118,1.2722144
cell_00935,0.8405878,0.22622672
cell_00936,0.7474272,1.4090327
cell_00937,0.53110135,0.12561578
cell_00938,0.24906178,1.0472898
cell_00939,0.79241884,0.22775191
cell_00940,0.8659906,0.27904037
cell_00941,0.8362825,1.5041876
cell_00942,0.05171377,0.17999302
cell_00943,0.6979587,0.99586535
cell_00944,0.70393866,0.73226494
cell_00945,0.94307554,0.25137746
cell_00946,0.26347837,1.0940583
cell_00947,0.78634685,0.91912174
cell_00948,0.6890965,1.3492877
cell_00949,0.87872696,0.31339812
cell_00950,0.69330806,0.75063294
cell_00951,0.85245454,0.28187993
cell_00952,0.35957536,0.3350233
cell_00953,0.15762442,0.21108204
cell_00954,0.36335203,1.5473665
cell_00955,0.8150517,1.047514
cell_00956,0.13164997,1.2695931
cell_00957,0.6379452,0.76183337
cell_00958,0.98755604,1.0001895
cell_00959,0.8950149,1.0369482
cell_00960,0.67118335,0.6599723
cell_00961,0.7926303,0.77310884
cell_00962,0.116476454,0.15629135
cell_00963,0.49883378,0.17129312
cell_00964,0.53191245,1.7244464
cell_00965,0.7826958,0.9263082
cell_00966,0.28259334,1.1256222
cell_00967,0.106485285,0.17423946
cell_00968,0.69811386,0.9247685
cell_00969,0.49259412,0.14317344
cell_00970,0.84229404,0.29706845
cell_00971,0.4814897,0.08009784
cell_00972,0.8462708,0.116432436
cell_00973,0.50783503,1.2295533
cell_00974,0.7826985,0.49130636
cell_00975,0.7207452,1.106335
cell_00976,0.26608256,0.8060556
cell_00977,0.30939832,0.41004726
cell_00978,0.89919555,0.9857131
cell_00979,0.23100713,0.18449543
cell_00980,0.6975005,1.5514939
cell_00981,0.14512013,1.4472406
cell_00982,0.75515836,0.9482411
cell_00983,0.22328985,0.6279446
cell_00984,0.59406537,0.17307758
cell_00985,0.5642435,1.235662
cell_00986,0.20351425,0.42672122
cell_00987,0.4914033,0.06746829
cell_00988,0.879248,0.29032075
cell_00989,0.68052936,0.95751303
cell_00990,0.9926544,0.8597128
cell_00991,0.78455424,0.9442118
cell_00992,0.64345545,0.98851097
cell_00993,0.5632021,0.26638776
cell_00994,0.93742865,1.4841982
cell_00995,0.5270134,0.71320665
cell_00996,0.40267277,1.1843312
cell_00997,0.8344936,0.016537128
cell_00998,0.94024444,1.2993131
cell_00999,0.47891688,0.30566585
cell_01000,0.13723852,0.015203573
cell_01001,0.6083728,0.78937256
cell_01002,0.7408823,0.13614558
cell_01003,0.3736361,0.059524987
cell_01004,0.74787885,0.84612036
cell_01005,0.53105134,0.9686921
cell_01006,0.30135614,1.5833216
cell_01007,0.62952125,0.34416473
cell_01008,0.38894758,0.9935324
cell_01009,0.7868255,0.91947293
cell_01010,0.0030800279,0.8276953
cell_01011,0.8181781,0.9275594
cell_01012,0.30657527,0.6110336
cell_01013,0.95962656,1.2055411
cell_01014,0.75916487,0.38608754
cell_01015,0.24104029,0.29763225
cell_01016,0.97879916,0.762519
cell_01017,0.4995806,1.5822707
cell_01018,0.52292377,-0.014351065
cell_01019,0.9095181,0.7381959
cell_01020,0.9184031,1.3179034
cell_01021,0.6968825,1.0548694
cell_01022,0.97844964,1.3092374
cell_01023,0.3288703,0.6214621
cell_01024,0.23233658,1.3298562
cell_01025,0.029256722,0.3266198
cell_01026,0.34634495,1.5397409
cell_01027,0.60263336,0.47643057
cell_01028,0.30537906,1.2865165
cell_01029,0.57962024,0.60174584
cell_01030,0.04838575,0.69625527
cell_01031,0.35409108,1.1475507
cell_01032,0.7480049,0.6157814
cell_01033,0.10432686,1.1581842
cell_01034,0.71483743,0.81197155
cell_01035,0.7633111,0.87905264
cell_01036,0.5687615,0.3874478
cell_01037,0.88608754,1.12215
cell_01038,0.9545635,0.8163531
cell_01039,0.034677483,0.22336715
cell_01040,0.67908305,0.13815713
cell_01041,0.2371745,1.3685026
cell_01042,0.4081833,1.1445928
cell_01043,0.6231543,1.2479757
cell_01044,0.7122723,0.056575038
cell_01045,0.84019095,0.44338447
cell_01046,0.70538694,0.20165077
cell_01047,0.777399,0.9539019
cell_01048,0.5990712,1.1814432
cell_01049,0.11705908,0.3090857
cell_01050,0.021430315,1.1184285
cell_01051,0.52978307,0.09019343
cell_01052,0.71554106,0.3165647
cell_01053,0.10886559,0.14896291
cell_01054,0.42929596,0.43625152
cell_01055,0.2561774,1.5226187
cell_01056,0.5670931,1.1136149
cell_01057,0.39050275,0.2879269
cell_01058,0.2014675,0.9340048
cell_01059,0.004392714,1.1376532
cell_01060,0.3215251,1.2984331
cell_01061,0.51616216,1.1610923
cell_01062,0.92920905,0.2975515
cell_01063,0.22747602,0.9275606
cell_01064,0.5122551,0.38863605
cell_01065,0.56649655,1.2264789
cell_01066,0.6492277,0.7845745
cell_01067,0.32856634,0.8546666
cell_01068,0.09948182,-0.08101178
cell_01069,0.92135626,0.5381784
cell_01070,0.95275545,1.1102495
cell_01071,0.43823114,0.74510264
cell_01072,0.580575,1.0323423
cell_01073,0.029026393,1.7677774
cell_01074,0.04721564,1.3085017
cell_01075,0.07666741,0.37144962
cell_01076,0.7387463,0.7012506
cell_01077,0.2272345,0.81046546
cell_01078,0.18444723,1.2508205
cell_01079,0.008335332,0.41093466
cell_01080,0.022897543,0.25007406
cell_01081,0.40538377,1.4180568
cell_01082,0.54167795,1.3403548
cell_01083,0.5790592,0.96739316
cell_01084,0.4579112,1.7923433
cell_01085,0.45956126,1.4029797
cell_01086,0.7531422,0.9148899
cell_01087,0.28957012,1.4286826
cell_01088,0.23771782,0.59317833
cell_01089,0.85432416,0.5042301
cell_01090,0.6892638,0.31511238
cell_01091,0.47686645,1.1065477
cell_01092,0.2754048,0.43421763
cell_01093,0.13658182,0.33082634
cell_01094,0.037421197,0.90814596
cell_01095,0.8523654,0.62909335
cell_01096,0.5933855,0.21638522
cell_01097,0.045829494,1.5921562
cell_01098,0.1585874,1.501399
cell_01099,0.27956426,0.15989587
cell_01100,0.2630716,-0.03296363
cell_01101,0.548391,0.5251027
cell_01102,0.39944363,0.9615826
cell_01103,0.88221663,1.3454217
cell_01104,0.7194107,0.13574895
cell_01105,0.91073257,1.4327614
cell_01106,0.8628186,0.1069202
cell_01107,0.92136914,0.6533442
cell_01108,0.98001146,1.7967107
cell_01109,0.31169644,0.22911054
cell_01110,0.2096806,0.16390455
cell_01111,0.16515236,0.8227958
cell_01112,0.6280885,0.7240537
cell_01113,0.6809667,1.0959991
cell_01114,0.087837495,1.6265671
cell_01115,0.8210716,0.097393766
cell_01116,0.7830665,0.27690843
cell_01117,0.62847394,1.6154739
cell_01118,0.43561247,0.42185456
cell_01119,0.15365729,1.0334343
cell_01120,0.5055923,0.87987834
cell_01121,0.1591693,0.14557755
cell_01122,0.6049788,1.5283533
cell_01123,0.30996472,0.23451285
cell_01124,0.24730626,0.4910311
cell_01125,0.4410514,0.6985968
cell_01126,0.5807128,1.225166
cell_01127,0.36746407,1.2149862
cell_01128,0.9636034,1.3770179
cell_01129,0.005897636,1.5940707
cell_01130,0.912861,1.3331773
cell_01131,0.0006840495,1.2432249
cell_01132,0.21671194,0.07666771
cell_01133,0.99635124,1.0062225
cell_01134,0.72809535,1.2871797
cell_01135,0.64449835,0.371819
cell_01136,0.7260929,1.1194879
cell_01137,0.4082962,0.9154754
cell_01138,0.7842097,0.078976415
cell_01139,0.15486804,1.4189447
cell_01140,0.7938924,0.52654445
cell_01141,0.9395267,1.5686466
cell_01142,0.8576869,1.418569
cell_01143,0.739661,1.3591236
cell_01144,0.6513773,1.082341
cell_01145,0.5210922,0.33289796
cell_01146,0.3952233,1.0306544
cell_01147,0.8656536,1.1884929
cell_01148,0.64745855,0.96313226
cell_01149,0.4349003,1.5674071
cell_01150,0.7847917,0.16181205
cell_01151,0.054103754,1.6502643
cell_01152,0.81311923,0.052755803
cell_01153,0.81070215,0.2535108
cell_01154,0.22852941,0.98374546
cell_01155,0.03767159,0.03241754
cell_01156,0.713708,0.09060158
cell_01157,0.19987163,0.0061602984
cell_01158,0.9960218,0.5056633
cell_01159,0.009182446,0.906347
cell_01160,0.22979198,0.041524086
cell_01161,0.042062398,1.4499999
cell_01162,0.7826557,1.6112301
cell_01163,0.5786955,0.1998806
cell_01164,0.8484345,0.21885818
cell_01165,0.96261334,1.6343378
cell_01166,0.6101149,1.0078272
cell_01167,0.2317535,0.7742865
cell_01168,0.09264944,1.3725289
cell_01169,0.86626107,0.089100085
cell_01170,0.24511325,0.7764107
cell_01171,0.8935182,0.93069947
cell_01172,0.8782876,0.38418877
cell_01173,0.6278092,1.2082007
cell_01174,0.6039958,0.6139789
cell_01175,0.95082647,1.1178757
cell_01176,0.7560151,0.6017845
cell_01177,0.6832818,0.4538175
cell_01178,0.43574074,0.42940068
cell_01179,0.48399845,0.23498353
cell_01180,0.3889211,0.9786536
cell_01181,0.946321,0.22442394
cell_01182,0.6381192,0.12985869
cell_01183,0.78036356,0.2134038
cell_01184,0.037199736,0.2151577
cell_01185,0.8524263,1.5882394
cell_01186,0.4176383,0.89487296
cell_01187,0.7371604,1.7448343
cell_01188,0.040025316,0.1566043
cell_01189,0.89387316,1.0101385
cell_01190,0.6598456,0.57216567
cell_01191,0.4575008,0.6344476
cell_01192,0.3035581,1.4632471
cell_01193,0.31102413,1.2590039
cell_01194,0.30339813,1.4589374
cell_01195,0.13102585,0.15157793
cell_01196,0.46380955,0.26615524
cell_01197,0.45348635,1.2609757
cell_01198,0.41193667,0.35128772
cell_01199,0.70309424,1.3657974
cell_01200,0.41981485,0.7958527
cell_01201,0.08900372,0.8817019
cell_01202,0.8520596,0.988821
cell_01203,0.42510086,0.9208004
cell_01204,0.65528566,0.0029573706
cell_01205,0.92989635,0.17211796
cell_01206,0.7674151,1.0501119
cell_01207,0.53879887,0.8354334
cell_01208,0.54502225,0.3407819
cell_01209,0.84953105,0.8477995
cell_01210,0.8236323,0.9786105
cell_01211,0.17865273,1.6191944
cell_01212,0.6265011,1.2632226
cell_01213,0.8657157,0.77100664
cell_01214,0.8033074,0.27406153
cell_01215,0.12471601,1.078028
cell_01216,0.43569282,0.40582806
cell_01217,0.5182331,0.8369875
cell_01218,0.25780955,1.1881139
cell_01219,0.6794994,0.07293544
cell_01220,0.47622648,-0.011291245
cell_01221,0.29750872,0.3113026
cell_01222,0.33686453,1.5654335
cell_01223,0.85666835,1.211937
cell_01224,0.8661998,0.1598573
cell_01225,0.81237566,1.6239898
cell_01226,0.91386884,0.76800907
cell_01227,0.9523065,1.0649467
cell_01228,0.4918279,1.5501957
cell_01229,0.09670362,0.098489396
cell_01230,0.800071,0.2203318
cell_01231,0.6334319,0.65214086
cell_01232,0.38051718,0.32807824
cell_01233,0.9755331,0.7633742
cell_01234,0.3386852,0.22924729
cell_01235,0.90763396,0.13761355
cell_01236,0.59258443,0.23743828
cell_01237,0.036641985,1.0159711
cell_01238,0.8603351,0.13797735
cell_01239,0.762212,0.15111046
cell_01240,0.6424875,1.4262227
cell_01241,0.6145871,0.4185303
cell_01242,0.21883549,0.64428777
cell_01243,0.21448612,0.015238989
cell_01244,0.029172428,1.0395292
cell_01245,0.15413746,0.25214547
cell_01246,0.33648127,1.1567956
cell_01247,0.5407249,0.2543388
cell_01248,0.13080856,1.1511979
cell_01249,0.5575722,1.1828749
cell_01250,0.26332012,0.08814444
cell_01251,0.25396112,0.050786994
cell_01252,0.9479442,0.16313069
cell_01253,0.99234456,1.0633408
cell_01254,0.8114386,0.16634634
cell_01255,0.05439198,1.529736
cell_01256,0.72863173,1.1934257
cell_01257,0.17842573,1.236363
cell_01258,0.5692213,1.0475343
cell_01259,0.89371365,1.6253182
cell_01260,0.38019562,0.06592088
cell_01261,0.9288417,0.9774443
cell_01262,0.70837224,0.3608503
cell_01263,0.3010118,1.0889933
cell_01264,0.0949172,1.1163368
cell_01265,0.8153513,1.2377163
cell_01266,0.4580594,0.23875089
cell_01267,0.07269349,1.1448255
cell_01268,0.10312235,1.0395635
cell_01269,0.9669614,0.9409758
cell_01270,0.24300195,1.3649696
cell_01271,0.9665912,0.90819514
cell_01272,0.68115956,0.6755896
cell_01273,0.3004911,0.6461509
cell_01274,0.38372788,0.11610701
cell_01275,0.77703846,0.5302282
cell_01276,0.43541497,0.27890188
cell_01277,0.07475078,0.08728738
cell_01278,0.22981413,1.1053011
cell_01279,0.86034495,0.7435625
cell_01280,0.69617414,0.79526305
cell_01281,0.50101614,1.0068042
cell_01282,0.24549566,0.9537627
cell_01283,0.47459063,0.66507983
cell_01284,0.78884906,1.1658542
cell_01285,0.0815432,1.113358
cell_01286,0.99476784,0.96917385
cell_01287,0.85976255,0.4394101
cell_01288,0.31796578,0.6798958
cell_01289,0.87057674,0.8602749
cell_01290,0.68171453,0.92818224
cell_01291,0.6663544,1.1524466
cell_01292,0.13970977,0.78031033
cell_01293,0.90589464,0.37146828
cell_01294,0.4503418,0.39585528
cell_01295,0.8032278,0.53689367
cell_01296,0.2995238,0.06468561
cell_01297,0.30800366,0.26875055
cell_01298,0.9646892,1.1834102
cell_01299,0.49665993,0.6931087
cell_01300,0.059890714,0.25549287
cell_01301,0.83570665,0.7105209
cell_01302,0.22723003,1.3440559
cell_01303,0.8787538,0.35781023
cell_01304,0.9164399,1.2031646
cell_01305,0.07276601,1.344911
cell_01306,0.58242923,0.79902834
cell_01307,0.9815241,0.8742758
cell_01308,0.9309196,0.09913643
cell_01309,0.5252433,1.3048544
cell_01310,0.6804932,0.60647655
cell_01311,0.60426205,1.342804
cell_01312,0.20325334,1.0410582
cell_01313,0.65299755,0.004850289
cell_01314,0.33314118,0.056454275
cell_01315,0.33797193,1.3996762
cell_01316,0.41998816,1.2827557
cell_01317,0.8521769,0.08004482
cell_01318,0.23834583,0.8783867
cell_01319,0.25079167,0.9171479
cell_01320,0.0073399134,1.1013795
cell_01321,0.15500687,1.1049922
cell_01322,0.9786793,0.043661553
cell_01323,0.43386996,1.4239134
cell_01324,0.1951647,0.44401473
cell_01325,0.9656818,1.0070992
cell_01326,0.027117869,0.5409117
cell_01327,0.48416638,0.6610917
cell_01328,0.80460215,0.25029603
cell_01329,0.7728252,0.24827698
cell_01330,0.18921727,1.3286183
cell_01331,0.70778966,0.89077425
cell_01332,0.6222886,0.90500546
cell_01333,0.6752762,1.3885558
cell_01334,0.26610482,1.2935517
cell_01335,0.8107344,1.4026572
cell_01336,0.5592375,0.20510976
cell_01337,0.72507805,0.72803473
cell_01338,0.9395735,1.4503361
cell_01339,0.8554973,0.7621226
cell_01340,0.7823375,0.13863714
cell_01341,0.28964874,1.2018392
cell_01342,0.054083113,0.6016363
cell_01343,0.57464445,1.1854975
cell_01344,0.034513053,1.5176817
cell_01345,0.71418977,0.6859818
cell_01346,0.73682165,0.507324
cell_01347,0.5629113,0.7841837
cell_01348,0.16815192,0.57171273
cell_01349,0.87572145,0.06012645
cell_01350,0.5959212,0.8552928
cell_01351,0.5148919,1.0421999
cell_01352,0.5675918,0.3201516
cell_01353,0.08288708,0.4130334
cell_01354,0.74043703,1.0275686
cell_01355,0.060775585,0.046512924
cell_01356,0.57838815,0.8582787
cell_01357,0.16925709,0.9186332
cell_01358,0.20770194,0.83280396
cell_01359,0.23325425,0.1737847
cell_01360,0.014305638,1.1005158
cell_01361,0.89183885,0.6103874
cell_01362,0.8042353,0.9421351
cell_01363,0.03128645,0.13107479
cell_01364,0.05698609,0.52640915
cell_01365,0.78287685,1.0700425
cell_01366,0.0068032877,0.22947755
cell_01367,0.4689989,0.15875651
cell_01368,0.10729726,0.22354612
cell_01369,0.59163225,0.36307287
cell_01370,0.9983404,0.04218539
cell_01371,0.17202151,1.7392808
cell_01372,0.9566839,0.5494724
cell_01373,0.8654785,0.96573067
cell_01374,0.985855,1.2420632
cell_01375,0.7661886,0.13589007
cell_01376,0.8569943,0.8343851
cell_01377,0.59459764,1.5792532
cell_01378,0.86728406,0.743759
cell_01379,0.11151226,1.0580741
cell_01380,0.7416543,0.71656203
cell_01381,0.62872356,0.057459198
cell_01382,0.059846483,0.79922765
cell_01383,0.29159036,1.741929
cell_01384,0.2161068,1.1339176
cell_01385,0.40517545,0.07348776
cell_01386,0.19835334,1.2378851
cell_01387,0.27482966,0.31581873
cell_01388,0.29603013,0.988303
cell_01389,0.5998109,0.10519717
cell_01390,0.13487376,1.5950387
cell_01391,0.24110124,1.2735361
cell_01392,0.31714806,0.14417595
cell_01393,0.44906795,0.09521296
cell_01394,0.038088635,0.9847771
cell_01395,0.99921143,0.17673193
cell_01396,0.300392,1.1172912
cell_01397,0.28734487,1.1191754
cell_01398,0.5548706,0.7025437
cell_01399,0.85403216,1.0972518
cell_01400,0.45680937,0.8580994
cell_01401,0.2488392,-0.0131973345
cell_01402,0.56587553,1.7553475
cell_01403,0.48294255,0.35249022
cell_01404,0.42307484,0.29124272
cell_01405,0.98388296,0.32746938
cell_01406,0.9959503,1.5404623
cell_01407,0.5619438,-0.0037098173
cell_01408,0.06800393,1.3250836
cell_01409,0.5669176,1.0740273
cell_01410,0.95247215,0.9985352
cell_01411,0.92569256,1.7211541
cell_01412,0.21550085,1.0227292
cell_01413,0.19011948,1.3194059
cell_01414,0.15225585,0.13815363
cell_01415,0.81978434,1.0023154
cell_01416,0.49005505,0.73537475
cell_01417,0.33804658,0.8713779
cell_01418,0.32480717,1.6147408
cell_01419,0.27541324,1.6693668
cell_01420,0.8826198,1.3577322
cell_01421,0.4096799,0.69823736
cell_01422,0.24401774,0.8288271
cell_01423,0.7104048,0.4199338
cell_01424,0.63545454,0.7572835
cell_01425,0.7153655,0.61018777
cell_01426,0.8219561,0.09374651
cell_01427,0.10123371,0.09223101
cell_01428,0.0019887413,1.167637
cell_01429,0.05056624,0.59796
cell_01430,0.70679325,1.662099
cell_01431,0.9344965,1.1833569
cell_01432,0.33110538,-0.04578229
cell_01433,0.78119415,0.15345317
cell_01434,0.7291845,0.20213574
cell_01435,0.97806156,1.6924707
cell_01436,0.47079307,0.30846995
cell_01437,0.16607296,0.5673531
cell_01438,0.7652314,1.6856871
cell_01439,0.81881887,1.2186807
cell_01440,0.70730007,0.29035145
cell_01441,0.86318165,0.05669535
cell_01442,0.3711826,0.22377829
cell_01443,0.690315,0.10085074
cell_01444,0.26384863,0.26465923
cell_01445,0.44644016,0.72518355
cell_01446,0.24249217,1.1836222
cell_01447,0.15453367,0.8121075
cell_01448,0.03595325,0.9642587
cell_01449,0.67142427,0.1608624
cell_01450,0.8752731,1.0010998
cell_01451,0.31441945,0.8324834
cell_01452,0.42923537,1.450096
cell_01453,0.0035469483,1.617691
cell_01454,0.41285476,0.40361995
cell_01455,0.28132212,0.17685442
cell_01456,0.57420003,0.20598197
cell_01457,0.9085172,0.95712095
cell_01458,0.5061526,1.3428646
cell_01459,0.67553264,0.46209028
cell_01460,0.70548284,1.4135189
cell_01461,0.1524319,0.62721604
cell_01462,0.3465706,0.18126489
cell_01463,0.11314555,0.36638984
cell_01464,0.4407466,0.85310215
cell_01465,0.8872857,0.9055221
cell_01466,0.48093435,0.85765517
cell_01467,0.45615298,0.3323221
cell_01468,0.20932354,1.0376468
cell_01469,0.3102173,0.22079414
cell_01470,0.93659955,1.4772197
cell_01471,0.30299532,0.23517339
cell_01472,0.7313866,0.15738332
cell_01473,0.042141665,0.7222007
cell_01474,0.12831396,0.7851221
cell_01475,0.31147793,0.75891596
cell_01476,0.90142083,0.5994504
cell_01477,0.21929166,1.1820421
cell_01478,0.7267446,0.953321
cell_01479,0.16752447,0.801787
cell_01480,0.612842,0.5141593
cell_01481,0.58682823,0.023192568
cell_01482,0.6219479,1.0890819
cell_01483,0.28627652,0.28386214
cell_01484,0.162103,1.0231813
cell_01485,0.88648576,0.06749915
cell_01486,0.56944394,1.2450763
cell_01487,0.21204317,0.48787183
cell_01488,0.41332906,1.3671112
cell_01489,0.067091495,0.7019871
cell_01490,0.47537613,0.085883915
cell_01491,0.42389077,1.3608347
cell_01492,0.13272624,0.98313737
cell_01493,0.44437233,1.4308637
cell_01494,0.6395323,0.59459776
cell_01495,0.92849046,1.0947272
cell_01496,0.7031852,1.5483311
cell_01497,0.50243527,0.8996513
cell_01498,0.7700511,0.34068468
cell_01499,0.27993527,0.8207676
cell_01500,0.6687816,0.9921079
cell_01501,0.0050621666,1.7746173
cell_01502,0.07255113,1.0048171
cell_01503,0.6242656,0.49602404
cell_01504,0.19254957,1.3073071
cell_01505,0.6887296,0.80286044
cell_01506,0.63675326,0.9039801
cell_01507,0.063666746,0.974707
cell_01508,0.39249668,0.4033548
cell_01509,0.6130022,1.1365849
cell_01510,0.7134816,0.23248571
cell_01511,0.81608415,0.20332761
cell_01512,0.3304429,1.0549339
cell_01513,0.83671606,1.3363483
cell_01514,0.35425442,1.1927047
cell_01515,0.006986841,0.35394767
cell_01516,0.6100059,0.16758068
cell_01517,0.2416686,1.4436284
cell_01518,0.124381304,0.14195661
cell_01519,0.25835782,0.26777288
cell_01520,0.827914,0.3312095
cell_01521,0.9140013,0.6854022
cell_01522,0.9616966,1.0558418
cell_01523,0.30283037,1.0267067
cell_01524,0.4559287,1.4586349
cell_01525,0.8025261,0.23667875
cell_01526,0.31790268,0.6925017
cell_01527,0.3851432,0.53567725
cell_01528,0.23727448,0.15636972
cell_01529,0.5723673,0.37450507
cell_01530,0.6592667,0.3428406
cell_01531,0.31843945,0.13297683
cell_01532,0.024230516,0.9450742
cell_01533,0.7359078,1.4445999
cell_01534,0.6165973,0.10118148
cell_01535,0.21899879,1.0785731
cell_01536,0.31464767,1.1251409
cell_01537,0.95711356,0.9465018
cell_01538,0.63020355,1.2575053
cell_01539,0.59547776,0.9222712
cell_01540,0.63969076,1.4607342
cell_01541,0.9544445,0.3247968
cell_01542,0.33985907,0.92236376
cell_01543,0.28091598,0.18962876
cell_01544,0.37674248,0.8183049
cell_01545,0.8009491,0.5223207
cell_01546,0.12095887,0.28373197
cell_01547,0.2068247,1.03019
cell_01548,0.22824551,0.43400276
cell_01549,0.6363774,0.34737843
cell_01550,0.641583,0.15541458
cell_01551,0.37188637,0.42756745
cell_01552,0.27619228,0.3486421
cell_01553,0.7546519,0.39935353
cell_01554,0.031726565,0.22238275
cell_01555,0.7387377,1.1489642
cell_01556,0.210274,1.4492056
