,pseudotime,branch_gate,lineage,branch_index,batch,library_size_factor,cell_cycle_score,stress_score,spatial_x,spatial_y
cell_00736,0.20702054,0.054187752,NPC,-1,Batch_1,1.1230614,0.7126721,0.73293257,0.5998349,0.30494425
cell_00737,0.30207157,0.27716488,NPC,-1,Batch_1,1.1812979,0.86594796,0.6909426,0.75232106,0.3301739
cell_00738,0.3941258,0.7073432,Astrocyte,2,Batch_1,0.78054696,0.6158355,0.8050484,0.7736426,0.7555301
cell_00739,0.41660964,0.7912031,OPC,5,Batch_1,1.4256464,0.04772726,0.66599685,0.68186355,1.1690905
cell_00740,0.0016607076,0.0009417902,NPC,-1,Batch_1,0.9853637,0.42696407,0.84077585,0.11890993,0.0627999
cell_00741,0.112070374,0.008504722,NPC,-1,Batch_3,1.0610089,1.2119184,0.6308179,0.8667266,0.14350465
cell_00742,0.86276454,0.99996483,Excitatory_Neuron,0,Batch_1,1.1747943,0.041409336,0.77705,0.26089913,1.0978687
cell_00743,0.0012330625,0.00093377696,NPC,-1,Batch_2,1.1618683,0.13047332,0.85718834,0.9961942,-0.024632227
cell_00744,0.5081673,0.9594314,Excitatory_Neuron,0,Batch_2,0.8005404,1.8353873,0.8076295,0.38550794,0.7340949
cell_00745,0.489502,0.9421352,Inhibitory_Neuron,1,Batch_1,1.0265093,1.7229743,0.63704324,0.1199973,0.7194449
cell_00746,0.33309415,0.416267,NPC,-1,Batch_2,1.0274537,0.0065026814,0.7825356,0.3160865,0.4570527
cell_00747,0.43132702,0.83569515,Inhibitory_Neuron,1,Batch_1,1.1697382,0.37933815,0.58279395,0.57353425,0.619492
cell_00748,0.7805811,0.999818,OPC,5,Batch_3,0.8426533,0.14053452,0.523266,0.39144623,1.561668
cell_00749,0.8412037,0.9999459,OPC,5,Batch_2,0.7090467,0.053527154,0.8165527,0.8286817,1.6366177
cell_00750,0.26034853,0.14270175,NPC,-1,Batch_1,0.86944103,0.7276595,0.8232036,0.6822063,0.26597658
cell_00751,0.32249045,0.36582005,NPC,-1,Batch_3,1.0267714,2.5732076,0.5091724,0.21345057,0.33906636
cell_00752,0.24248286,0.10429918,NPC,-1,Batch_3,0.8581595,0.7414956,0.879118,0.5388533,0.2807543
cell_00753,0.4798634,0.9306855,OPC,5,Batch_3,0.761107,1.9166819,0.6783599,0.787532,1.2311027
cell_00754,0.68325835,0.9987271,Excitatory_Neuron,0,Batch_2,1.3215421,0.038105756,0.8621089,0.89123374,0.72833866
cell_00755,0.22825287,0.08054667,NPC,-1,Batch_2,1.1661857,0.8721536,0.8152698,0.39494434,0.255761
cell_00756,0.33073574,0.4048528,NPC,-1,Batch_2,0.9568563,1.4079939,0.86026144,0.9244647,0.46237653
cell_00757,0.93038464,0.9999909,Inhibitory_Neuron,1,Batch_3,1.189445,0.00085759297,0.83335024,0.03596946,1.1748551
cell_00758,0.048569288,0.0024030413,NPC,-1,Batch_1,0.81954354,0.19754621,0.88959813,0.6766912,0.120978184
cell_00759,0.4607696,0.90162325,Oligodendrocyte,3,Batch_3,1.0022396,2.4190993,0.7516404,0.78198475,0.8565339
cell_00760,0.71155804,0.9992768,Inhibitory_Neuron,1,Batch_2,1.210389,0.29058495,0.5909035,0.4251414,0.9280426
cell_00761,0.15045401,0.018147295,NPC,-1,Batch_2,0.9796045,0.5550116,0.65582526,0.010974476,0.17318372
cell_00762,0.04737402,0.00234641,NPC,-1,Batch_2,1.3489586,0.5451917,0.8007517,0.68703514,0.15052177
cell_00763,0.13820536,0.014260585,NPC,-1,Batch_1,1.1213447,0.28285536,0.5627877,0.34256425,0.13384609
cell_00764,0.9188232,0.99998856,Oligodendrocyte,3,Batch_1,1.0823215,0.012612926,0.8719369,0.15181296,1.3759397
cell_00765,0.009259782,0.0010962049,NPC,-1,Batch_2,0.90212137,0.37895405,0.58211154,0.15710878,-0.058985066
cell_00766,0.18832198,0.037922133,NPC,-1,Batch_2,0.93030906,1.4791343,0.8503899,0.7691641,0.27258378
cell_00767,0.031283513,0.0017018608,NPC,-1,Batch_1,0.9206742,0.0932114,0.69348955,0.18738942,-0.030196799
cell_00768,0.11062947,0.008265127,NPC,-1,Batch_3,1.0724131,0.2786433,0.83624804,0.4840983,0.19215359
cell_00769,0.6201493,0.9955171,Excitatory_Neuron,0,Batch_3,1.0362419,0.7223036,0.8833183,0.97038937,0.7476687
cell_00770,0.24163891,0.10273284,NPC,-1,Batch_2,1.2324241,1.1553617,0.668859,0.7588187,0.28835312
cell_00771,0.5692121,0.98768127,Inhibitory_Neuron,1,Batch_1,0.85798836,0.87756056,0.7786418,0.54719365,0.8179197
cell_00772,0.59019536,0.99186903,Microglia,4,Batch_3,0.9172901,0.92566293,0.59068704,0.5282754,1.1481885
cell_00773,0.8494353,0.9999541,Inhibitory_Neuron,1,Batch_1,0.9513664,0.05529132,0.8203143,0.16732745,1.146216
cell_00774,0.004741393,0.0010015822,NPC,-1,Batch_2,0.9479066,0.06567911,0.82797027,0.44642356,-0.053963978
cell_00775,0.8533695,0.99995756,OPC,5,Batch_1,0.7919923,0.040914666,0.61809826,0.14489965,1.6914879
cell_00776,0.6191191,0.99542415,Inhibitory_Neuron,1,Batch_2,1.2110717,0.65959954,0.5096563,0.08358212,0.81157815
cell_00777,0.16274348,0.023086946,NPC,-1,Batch_2,0.7964835,1.4338611,0.6724821,0.10913724,0.21723622
cell_00778,0.7729374,0.999788,Excitatory_Neuron,0,Batch_1,1.0974005,0.0145211695,0.5680002,0.60661113,0.8757874
cell_00779,0.8554915,0.99995935,Inhibitory_Neuron,1,Batch_2,1.0362642,0.0007574359,0.8274204,0.19355299,1.1199297
cell_00780,0.2542635,0.12845036,NPC,-1,Batch_2,1.1982129,0.9718487,0.6044389,0.14934552,0.28642458
cell_00781,0.9187937,0.99998856,Excitatory_Neuron,0,Batch_1,1.0547986,6.9556454e-06,0.8774771,0.86713094,1.2516198
cell_00782,0.45445743,0.889844,Astrocyte,2,Batch_2,0.67918944,0.36458638,0.8887236,0.122012965,0.7846266
cell_00783,0.60342443,0.9937474,Excitatory_Neuron,0,Batch_2,0.80003256,0.069617994,0.8635344,0.70563513,0.6830329
cell_00784,0.98464954,0.9999969,Oligodendrocyte,3,Batch_2,1.0100224,0.002357066,0.7398458,0.41700026,1.5193516
cell_00785,0.3615361,0.55742586,Microglia,4,Batch_1,0.911063,2.9402544,0.6069712,0.57907975,0.8386097
cell_00786,0.81315935,0.99990517,Inhibitory_Neuron,1,Batch_3,1.0028666,0.0967256,0.8229034,0.023355415,1.087652
cell_00787,0.31839913,0.34705317,NPC,-1,Batch_2,0.9295436,1.812917,0.78063816,1.9239516e-05,0.47463328
cell_00788,0.7992135,0.99987465,Excitatory_Neuron,0,Batch_1,0.9171119,0.11535597,0.89086735,0.8172485,0.9758582
cell_00789,0.60073394,0.99340403,Inhibitory_Neuron,1,Batch_1,1.0856148,0.37922156,0.6509008,0.47544116,0.88605076
cell_00790,0.2163557,0.06459237,NPC,-1,Batch_2,0.82096833,0.029207386,0.5235072,0.07130694,0.21412966
cell_00791,0.41402608,0.7825386,Microglia,4,Batch_3,1.0170366,0.08249366,0.8993545,0.3434561,0.9666642
cell_00792,0.31763563,0.3436011,NPC,-1,Batch_1,1.1225417,0.19530292,0.83530545,0.50635445,0.3913579
cell_00793,0.07810839,0.0043300698,NPC,-1,Batch_3,0.81841654,0.33752826,0.58859587,0.13549347,0.05746473
cell_00794,0.02983477,0.0016533375,NPC,-1,Batch_3,1.1332272,0.18676795,0.79025114,0.54633796,0.055802062
cell_00795,0.34647864,0.48240054,NPC,-1,Batch_3,1.1096013,0.42917523,0.5002761,0.5287507,0.4465458
cell_00796,0.019034147,0.0013325638,NPC,-1,Batch_3,0.7349361,0.4948031,0.7231236,0.6028352,0.04998338
cell_00797,0.16548775,0.024357775,NPC,-1,Batch_2,1.0776482,0.048862286,0.6451353,0.8102618,0.19103114
cell_00798,0.7251833,0.99944925,Astrocyte,2,Batch_1,0.96268016,0.048728056,0.65253323,0.41277882,1.1647656
cell_00799,0.70809126,0.99922496,Excitatory_Neuron,0,Batch_3,0.9996883,0.34904373,0.59780794,0.88856006,0.8368286
cell_00800,0.7385804,0.99957865,Astrocyte,2,Batch_1,1.1048214,0.25740924,0.6099381,0.47467375,1.1088554
cell_00801,0.3171532,0.3414281,NPC,-1,Batch_3,1.0873141,2.328852,0.6818675,0.45714897,0.45266077
cell_00802,0.8900195,0.9999796,Astrocyte,2,Batch_2,1.0379323,2.5310953e-06,0.599258,0.6556857,1.252675
cell_00803,0.5938305,0.99243486,Inhibitory_Neuron,1,Batch_2,0.8931751,0.07155997,0.68657595,0.6175212,0.7474482
cell_00804,0.12602635,0.011212246,NPC,-1,Batch_1,1.2766051,1.1496799,0.7309391,0.011434939,0.10784079
cell_00805,0.14371866,0.015896583,NPC,-1,Batch_2,1.0953676,0.6006765,0.7844446,0.9824306,0.1918245
cell_00806,0.69309545,0.9989542,Excitatory_Neuron,0,Batch_3,0.99646497,0.06696634,0.7708583,0.9426936,0.89589405
cell_00807,0.17294393,0.02816458,NPC,-1,Batch_3,1.0423565,1.5482179,0.59679574,0.28128594,0.1745068
cell_00808,0.5072927,0.95874506,OPC,5,Batch_2,1.1514568,1.157979,0.51567584,0.5585833,1.2994931
cell_00809,0.9917745,0.9999973,Excitatory_Neuron,0,Batch_2,1.114748,0.00014953062,0.8330727,0.77048516,1.1914892
cell_00810,0.004007605,0.0009870051,NPC,-1,Batch_3,1.022653,0.37843153,0.8489251,0.92046785,-0.00096735166
cell_00811,0.016579801,0.0012688128,NPC,-1,Batch_1,0.86416274,0.12991662,0.8915558,0.5859066,-0.022601144
cell_00812,0.9930846,0.9999974,Excitatory_Neuron,0,Batch_2,1.2758825,0.00017943345,0.8838846,0.018940132,1.2892692
cell_00813,0.58463883,0.990922,Excitatory_Neuron,0,Batch_1,1.1426446,1.2146207,0.7535256,0.68067795,0.69405216
cell_00814,0.12690997,0.011409876,NPC,-1,Batch_1,0.9959784,0.02982884,0.8577087,0.09307807,0.08569257
cell_00815,0.8973022,0.99998236,Astrocyte,2,Batch_3,1.0023742,0.014090861,0.6792034,0.67117774,1.4396461
cell_00816,0.8803803,0.99997526,Astrocyte,2,Batch_2,0.95447224,0.0031495707,0.81493425,0.5874276,1.3161398
cell_00817,0.5362004,0.97643185,Inhibitory_Neuron,1,Batch_2,0.8809063,1.4831572,0.88213384,0.64066964,0.80338204
cell_00818,0.621792,0.9956613,Inhibitory_Neuron,1,Batch_3,1.482682,0.91067195,0.8185114,0.1892577,0.95022845
cell_00819,0.2731872,0.17708017,NPC,-1,Batch_1,1.2810143,2.2288103,0.66630614,0.49360988,0.35854775
cell_00820,0.050519697,0.002498393,NPC,-1,Batch_3,0.84673506,1.9767414e-05,0.6511037,0.6179568,0.1093681
cell_00821,0.5945676,0.9925447,Oligodendrocyte,3,Batch_1,0.90554285,0.29518145,0.6166171,0.3002929,1.0761974
cell_00822,0.2947552,0.24882363,NPC,-1,Batch_3,1.0313315,2.7853754,0.64682543,0.18162327,0.39039284
cell_00823,0.66362107,0.9981159,Inhibitory_Neuron,1,Batch_1,1.4108387,0.5546843,0.8282307,0.22268073,0.9146374
cell_00824,0.8362452,0.9999402,OPC,5,Batch_1,0.97858435,0.028961044,0.78060013,0.85801667,1.6024837
cell_00825,0.018160544,0.0013095136,NPC,-1,Batch_3,1.0009661,0.30449897,0.5999517,0.46454352,0.027778491
cell_00826,0.5957138,0.99271244,Inhibitory_Neuron,1,Batch_3,1.3178118,0.9066047,0.784614,0.6610734,0.8150158
cell_00827,0.23128054,0.08514661,NPC,-1,Batch_2,1.2072752,0.8133879,0.6517582,0.5148889,0.30275553
cell_00828,0.8738885,0.99997187,Excitatory_Neuron,0,Batch_1,0.9561038,0.021987263,0.723109,0.83412725,1.0737585
cell_00829,0.2536645,0.12711519,NPC,-1,Batch_2,0.97813016,1.5459701,0.6481477,0.50849485,0.34534323
cell_00830,0.6107701,0.9945971,OPC,5,Batch_1,1.1429079,0.44978213,0.7086517,0.09332531,1.3649045
cell_00831,0.5535408,0.98322284,Microglia,4,Batch_3,1.0242549,0.46187398,0.79192156,0.1979847,1.2442511
cell_00832,0.3961665,0.7157201,Inhibitory_Neuron,1,Batch_1,0.78407264,0.12124979,0.7924523,0.013265415,0.6480313
cell_00833,0.67762077,0.9985754,Microglia,4,Batch_1,1.1982037,0.37723467,0.80127305,0.8315243,1.2827823
cell_00834,0.72576964,0.99945563,Astrocyte,2,Batch_1,0.9274718,0.0044452734,0.6564155,0.66327286,1.1335771
cell_00835,0.5669378,0.98711544,Inhibitory_Neuron,1,Batch_1,0.85020673,0.9310097,0.77619815,0.75920194,0.87096024
cell_00836,0.75842226,0.99971664,Microglia,4,Batch_2,0.8566119,0.051120482,0.5954847,0.71502024,1.342608
cell_00837,0.9834171,0.99999684,Oligodendrocyte,3,Batch_1,0.99071044,0.0005067809,0.6909714,0.8244797,1.6408126
cell_00838,0.4192724,0.79986453,Inhibitory_Neuron,1,Batch_2,0.9529357,2.7076304,0.73324275,0.98696953,0.5843949
cell_00839,0.51458305,0.9641416,Oligodendrocyte,3,Batch_1,1.2825732,1.8574352,0.7745929,0.65347135,1.0225134
cell_00840,0.0124698775,0.0011688067,NPC,-1,Batch_3,1.237875,0.13312137,0.86479837,0.2522656,0.015293876
cell_00841,0.79602855,0.9998664,Inhibitory_Neuron,1,Batch_3,0.8739898,0.11311765,0.6219075,0.10139004,1.0726876
cell_00842,0.52023005,0.967848,Excitatory_Neuron,0,Batch_1,0.8765244,1.4934938,0.8381144,0.5897479,0.55913043
cell_00843,0.40796143,0.7611925,OPC,5,Batch_1,0.6185171,0.32809576,0.62444973,0.7707571,1.1349287
cell_00844,0.09407196,0.0059490274,NPC,-1,Batch_1,0.9084036,1.0271207,0.72076374,0.5615717,0.04846845
cell_00845,0.8896564,0.99997944,Astrocyte,2,Batch_3,1.4552102,0.0072539817,0.83123994,0.30355477,1.2354492
cell_00846,0.39500725,0.7109793,Astrocyte,2,Batch_2,1.0368744,2.6524544,0.78925985,0.71973485,0.7719938
cell_00847,0.6825816,0.99870974,Astrocyte,2,Batch_2,1.1175508,0.21161462,0.84514785,0.4479725,1.1485782
cell_00848,0.14937416,0.017766457,NPC,-1,Batch_3,1.0223373,0.29972348,0.8259525,0.28658912,0.1458867
cell_00849,0.96154964,0.9999951,Astrocyte,2,Batch_1,0.8011017,0.003508742,0.6105389,0.8410845,1.444015
cell_00850,0.17844176,0.03133556,NPC,-1,Batch_3,1.2218117,0.28824395,0.89717466,0.5765188,0.25395644
cell_00851,0.19954199,0.04701376,NPC,-1,Batch_1,1.0438923,0.06802758,0.8747994,0.283448,0.23487446
cell_00852,0.85898286,0.9999621,Inhibitory_Neuron,1,Batch_2,1.1830082,0.00073788804,0.67206985,0.32860434,1.2175703
cell_00853,0.91258276,0.999987,OPC,5,Batch_3,1.2707971,0.018771708,0.51888376,0.5716651,1.6869181
cell_00854,0.21214741,0.059689622,NPC,-1,Batch_3,1.0925894,1.013036,0.6213987,0.4229236,0.2804536
cell_00855,0.4698009,0.91652316,Oligodendrocyte,3,Batch_2,1.2023711,1.0374836,0.83446103,0.16051912,0.8610726
cell_00856,0.7334949,0.99953353,Oligodendrocyte,3,Batch_2,0.88950175,0.2358224,0.88034815,0.61046994,1.1796424
cell_00857,0.87836576,0.99997425,Astrocyte,2,Batch_1,1.2036741,0.01258475,0.8326688,0.68911004,1.3524911
cell_00858,0.3790527,0.64130986,Inhibitory_Neuron,1,Batch_3,0.85396457,0.6532721,0.6586973,0.00010879628,0.6024235
cell_00859,0.5170195,0.9657887,Excitatory_Neuron,0,Batch_2,0.7341229,0.73451805,0.5226146,0.5368693,0.61330056
cell_00860,0.7417164,0.9996042,Inhibitory_Neuron,1,Batch_1,0.9689524,0.21693219,0.70703316,0.5771615,1.105452
cell_00861,0.73113596,0.999511,Excitatory_Neuron,0,Batch_1,0.83083296,0.18579236,0.650553,0.33206406,0.97222894
cell_00862,0.7829601,0.9998265,Oligodendrocyte,3,Batch_2,1.2653068,0.031110648,0.549189,0.33873126,1.3215106
cell_00863,0.56993383,0.9878557,Microglia,4,Batch_2,1.1618624,0.58231604,0.54234135,0.31765887,1.0911379
cell_00864,0.1046151,0.007335275,NPC,-1,Batch_2,0.87484694,0.8037859,0.56121475,0.44532806,0.11995817
cell_00865,0.9039733,0.99998456,Inhibitory_Neuron,1,Batch_2,0.8605425,0.00013998996,0.58232945,0.8119399,1.1631389
cell_00866,0.8655725,0.99996674,Inhibitory_Neuron,1,Batch_2,1.0143076,0.041969575,0.80151457,0.46902606,1.1631627
cell_00867,0.79809743,0.99987185,Oligodendrocyte,3,Batch_2,1.0210221,0.10059781,0.6526814,0.9936487,1.270902
cell_00868,0.09986248,0.0066745905,NPC,-1,Batch_2,0.95403665,0.8895865,0.67477524,0.37615868,0.060023677
cell_00869,0.20439737,0.051560964,NPC,-1,Batch_1,0.9121691,1.1484927,0.7393525,0.69926226,0.13214618
cell_00870,0.74360037,0.9996189,Excitatory_Neuron,0,Batch_2,0.92833984,0.022125833,0.8840534,0.5489657,0.9006833
cell_00871,0.023140095,0.0014464463,NPC,-1,Batch_2,0.9291309,0.059654027,0.8025876,0.76228863,-0.08717004
cell_00872,0.9792246,0.9999966,OPC,5,Batch_2,0.95700246,0.00067576615,0.75828505,0.88836455,1.7590575
cell_00873,0.3771447,0.6324853,Inhibitory_Neuron,1,Batch_3,1.4371023,2.3639657,0.79753286,0.5116833,0.6072935
cell_00874,0.71931255,0.99938065,Excitatory_Neuron,0,Batch_2,1.122913,0.029335879,0.787717,0.4944792,0.82707024
cell_00875,0.8875711,0.9999786,Excitatory_Neuron,0,Batch_2,0.8840361,0.023140032,0.7760997,0.94271904,1.0108439
cell_00876,0.3946299,0.709426,OPC,5,Batch_1,0.8054306,1.873915,0.69856286,0.93365955,1.0701635
cell_00877,0.31913248,0.35038435,NPC,-1,Batch_1,1.313892,2.832597,0.7267388,0.9969967,0.3415287
cell_00878,0.6087411,0.99437463,Inhibitory_Neuron,1,Batch_1,0.80322593,0.3823618,0.6845966,0.15647592,0.85977226
cell_00879,0.58098936,0.9902413,Oligodendrocyte,3,Batch_1,0.87502515,1.2588997,0.6579834,0.0035687236,1.0055457
cell_00880,0.40914,0.7654508,Excitatory_Neuron,0,Batch_1,1.0760401,0.343909,0.60830724,0.4373103,0.48574328
cell_00881,0.60177475,0.99353904,Excitatory_Neuron,0,Batch_2,0.94286895,0.2017357,0.64208525,0.73334014,0.70480865
cell_00882,0.93538135,0.9999918,Microglia,4,Batch_2,1.0155222,0.0026112406,0.6714119,0.07285601,1.6018815
cell_00883,0.46764025,0.9131569,Excitatory_Neuron,0,Batch_3,1.1064429,2.3937933,0.73175174,0.37360165,0.64292586
cell_00884,0.19674218,0.044567622,NPC,-1,Batch_3,1.4109932,0.23720239,0.69995004,0.58145946,0.24608116
cell_00885,0.377206,0.63277024,Excitatory_Neuron,0,Batch_3,0.8811175,2.462836,0.5431796,0.21254742,0.4778694
cell_00886,0.39410698,0.70726544,Astrocyte,2,Batch_2,1.0803059,0.6415167,0.6359895,0.731142,0.6816887
cell_00887,0.13110869,0.0123970015,NPC,-1,Batch_2,1.0732104,0.8293324,0.6504774,0.22953765,0.16849326
cell_00888,0.1628715,0.023144761,NPC,-1,Batch_2,1.0786268,1.5486027,0.7827704,0.840672,0.18170562
cell_00889,0.6845621,0.9987598,Microglia,4,Batch_2,1.1046494,0.30908036,0.63315684,0.34827334,1.3029573
cell_00890,0.33947775,0.4475821,NPC,-1,Batch_1,0.8964058,0.992401,0.50318235,0.5986484,0.4398206
cell_00891,0.9548984,0.99999446,Inhibitory_Neuron,1,Batch_3,0.9602011,3.4706154e-05,0.5337346,0.544154,1.2408664
cell_00892,0.24359675,0.10639882,NPC,-1,Batch_1,0.8405611,1.3600891,0.6987994,0.2964467,0.27241382
cell_00893,0.0989245,0.006551359,NPC,-1,Batch_3,0.758041,0.1667386,0.5753982,0.43907163,0.09438867
cell_00894,0.7535046,0.9996873,Excitatory_Neuron,0,Batch_3,0.7428999,0.2077069,0.697849,0.8459731,0.8789195
cell_00895,0.88103604,0.9999756,OPC,5,Batch_3,0.9490348,0.03200549,0.72968215,0.5483443,1.665905
cell_00896,0.27811337,0.19189668,NPC,-1,Batch_1,1.0070317,0.10432207,0.8733752,0.05558696,0.31553695
cell_00897,0.2020881,0.049348604,NPC,-1,Batch_3,0.72514945,0.30118012,0.76223195,0.7130323,0.31740355
cell_00898,0.18576613,0.036100604,NPC,-1,Batch_1,0.9904102,0.4314311,0.5124163,0.1824525,0.3568775
cell_00899,0.5220123,0.96893895,Oligodendrocyte,3,Batch_1,0.9550927,0.19975595,0.6522922,0.48606277,0.95801765
cell_00900,0.46841663,0.91438043,Microglia,4,Batch_1,0.822492,1.9123894,0.8173828,0.46853888,1.0568001
cell_00901,0.25943983,0.14049277,NPC,-1,Batch_1,1.0460486,0.5861414,0.604225,0.48648694,0.36322817
cell_00902,0.045173116,0.0022455927,NPC,-1,Batch_1,1.0795373,0.06860136,0.8699892,0.031014007,0.040920287
cell_00903,0.48149133,0.93275666,Oligodendrocyte,3,Batch_1,0.98771983,0.67329913,0.7116043,0.27238852,0.88807005
cell_00904,0.95933235,0.9999949,Oligodendrocyte,3,Batch_1,0.947352,0.0078686895,0.5369791,0.050735474,1.5981075
cell_00905,0.6525192,0.9976486,Inhibitory_Neuron,1,Batch_3,1.0521822,0.038037676,0.59666824,0.4149567,0.9373309
cell_00906,0.49550655,0.948345,Inhibitory_Neuron,1,Batch_1,0.6450717,1.2601612,0.8625197,0.6213367,0.73054236
cell_00907,0.11069208,0.008275397,NPC,-1,Batch_1,1.3979168,0.37222666,0.8965839,0.65407413,0.20535661
cell_00908,0.25243628,0.12441449,NPC,-1,Batch_3,1.1207801,2.5706017,0.8452064,0.064548,0.3414352
cell_00909,0.29477394,0.24889375,NPC,-1,Batch_1,0.91984046,2.726389,0.6282707,0.11888911,0.35133198
cell_00910,0.7648035,0.99975055,Oligodendrocyte,3,Batch_3,1.0328239,0.00067142764,0.8075276,0.6615068,1.2289327
cell_00911,0.8767108,0.9999734,Oligodendrocyte,3,Batch_2,1.1809131,0.034648065,0.588891,0.53118765,1.3873863
cell_00912,0.90164185,0.99998385,OPC,5,Batch_2,1.0547237,0.003931908,0.6538089,0.833412,1.7422113
cell_00913,0.9845686,0.9999969,Astrocyte,2,Batch_1,1.32067,0.0043137153,0.77886724,0.20514217,1.4555867
cell_00914,0.9823667,0.9999968,Inhibitory_Neuron,1,Batch_1,1.0071127,0.0017101847,0.88756055,0.120342284,1.2895067
cell_00915,0.9529991,0.9999942,Astrocyte,2,Batch_3,0.81131864,0.00888508,0.6756793,0.36202416,1.4719272
cell_00916,0.071822144,0.003820458,NPC,-1,Batch_2,0.9242596,0.09752931,0.6983346,0.63706714,0.0783255
cell_00917,0.13779354,0.014145263,NPC,-1,Batch_1,0.853796,1.8285225e-07,0.5880674,0.48596725,0.21472815
cell_00918,0.30446652,0.28686285,NPC,-1,Batch_1,0.7519182,1.8348037,0.6612891,0.098593265,0.3763618
cell_00919,0.5528982,0.9830095,Oligodendrocyte,3,Batch_1,1.1057681,0.5430424,0.52520746,0.07129209,1.1201255
cell_00920,0.09697789,0.006302777,NPC,-1,Batch_1,1.0956167,0.9757871,0.84343433,0.6776936,0.15402573
cell_00921,0.84579694,0.99995065,Inhibitory_Neuron,1,Batch_2,0.8602834,0.0587028,0.50933385,0.29696822,1.1372644
cell_00922,0.6167562,0.9952038,Microglia,4,Batch_2,1.2857382,0.09553863,0.77340984,0.66948247,1.2111673
cell_00923,0.5423644,0.9791083,Astrocyte,2,Batch_1,0.7065184,0.504784,0.6092887,0.29491487,0.89006865
cell_00924,0.16531132,0.024274059,NPC,-1,Batch_2,1.2133104,0.5482655,0.69044375,0.3147942,0.16210373
cell_00925,0.2532555,0.12621026,NPC,-1,Batch_2,0.89036524,1.5609498,0.6126234,0.20981473,0.23557141
cell_00926,0.16031203,0.022015233,NPC,-1,Batch_1,0.9794351,1.6330205,0.6600283,0.98371696,0.2078112
cell_00927,0.8519332,0.9999563,Excitatory_Neuron,0,Batch_2,1.0044665,0.0352795,0.71871114,0.01607029,0.99564385
cell_00928,0.58422786,0.9908477,Astrocyte,2,Batch_3,1.2132949,0.7340738,0.7563574,0.12725243,0.9142647
cell_00929,0.7351294,0.99954855,Oligodendrocyte,3,Batch_2,0.95803785,0.20028864,0.8761144,0.8362902,1.2377133
cell_00930,0.29603288,0.25363043,NPC,-1,Batch_1,0.89495564,0.26954633,0.6328804,0.13816173,0.3578506
cell_00931,0.37125263,0.6046917,OPC,5,Batch_1,1.5511096,2.6788845,0.733943,0.2806969,1.045872
cell_00932,0.40485495,0.7497162,Inhibitory_Neuron,1,Batch_1,0.68135816,2.2068996,0.86068887,0.26278496,0.69274074
cell_00933,0.76001495,0.9997255,Astrocyte,2,Batch_3,0.91215366,0.19096263,0.61609274,0.6969856,1.1851369
cell_00934,0.772353,0.99978554,Astrocyte,2,Batch_2,0.86457044,0.02040506,0.84602,0.41120118,1.2722144
cell_00935,0.20681353,0.053975947,NPC,-1,Batch_1,1.0951412,1.9458485,0.883022,0.8405878,0.22622672
cell_00936,0.9415389,0.9999927,Astrocyte,2,Batch_1,1.0495346,0.010804161,0.8389975,0.7474272,1.4090327
cell_00937,0.120655335,0.010081773,NPC,-1,Batch_1,0.80944884,0.07728929,0.7279442,0.53110135,0.12561578
cell_00938,0.8961221,0.99998194,Excitatory_Neuron,0,Batch_2,0.9374056,0.0011447559,0.7888462,0.24906178,1.0472898
cell_00939,0.10039564,0.006745662,NPC,-1,Batch_2,0.9827144,0.21768002,0.6924263,0.79241884,0.22775191
cell_00940,0.2645398,0.15326701,NPC,-1,Batch_1,1.1200808,1.5439318,0.73890233,0.8659906,0.27904037
cell_00941,0.8464785,0.9999513,OPC,5,Batch_1,0.77962005,0.055492066,0.88978964,0.8362825,1.5041876
cell_00942,0.17949207,0.03197949,NPC,-1,Batch_1,0.8965993,0.1036136,0.60044825,0.05171377,0.17999302
cell_00943,0.41356793,0.7809752,OPC,5,Batch_1,1.0899748,1.16831,0.81701887,0.6979587,0.99586535
cell_00944,0.4498593,0.88050133,Astrocyte,2,Batch_2,1.0505807,2.378896,0.70249325,0.70393866,0.73226494
cell_00945,0.24525897,0.10960126,NPC,-1,Batch_1,0.8672099,1.761982,0.5707493,0.94307554,0.25137746
cell_00946,0.7102452,0.9992576,Astrocyte,2,Batch_3,0.9258403,0.037117854,0.75741416,0.26347837,1.0940583
cell_00947,0.85133463,0.9999558,Excitatory_Neuron,0,Batch_1,1.0161899,0.04548416,0.81697077,0.78634685,0.91912174
cell_00948,0.87457514,0.9999722,Astrocyte,2,Batch_2,0.97286755,0.0008632394,0.72750235,0.6890965,1.3492877
cell_00949,0.33932215,0.44681272,NPC,-1,Batch_1,0.96209204,2.4019318,0.8349731,0.87872696,0.31339812
cell_00950,0.5308504,0.9738398,Inhibitory_Neuron,1,Batch_2,1.2736795,1.733927,0.64634746,0.69330806,0.75063294
cell_00951,0.24840641,0.11589698,NPC,-1,Batch_3,1.205079,0.86602753,0.8655073,0.85245454,0.28187993
cell_00952,0.2447965,0.10870187,NPC,-1,Batch_2,1.0911574,0.27514392,0.75932807,0.35957536,0.3350233
cell_00953,0.16125406,0.022424558,NPC,-1,Batch_2,0.8057791,1.1834781,0.82126373,0.15762442,0.21108204
cell_00954,0.940019,0.9999925,Oligodendrocyte,3,Batch_3,1.2393627,0.011364978,0.60919404,0.36335203,1.5473665
cell_00955,0.8879888,0.9999788,Excitatory_Neuron,0,Batch_2,1.2272266,0.025027227,0.6784513,0.8150517,1.047514
